Rank,MovieId,Title,AverageRating,RatingCount
1,318,"Schindler's List (1993)",4.466,298
2,483,"Casablanca (1942)",4.457,243
3,64,"Shawshank Redemption, The (1994)",4.445,283
4,178,"12 Angry Men (1957)",4.344,125
5,134,"Citizen Kane (1941)",4.293,198
6,963,"Some Folks Call It a Sling Blade (1993)",4.293,41
7,427,"To Kill a Mockingbird (1962)",4.292,219
8,357,"One Flew Over the Cuckoo's Nest (1975)",4.292,264
9,98,"Silence of the Lambs, The (1991)",4.290,390
10,127,"Godfather, The (1972)",4.283,413
